step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics
4431,35448,560504,single_D24,1.3414500951766968,0.5,80.16609954833984,1,29,1.5573174953460693,{}
4432,35456,560640,single_D12,1.5002658367156982,0.5,84.17147827148438,1,17,0.9794137477874756,{}
4433,35464,560776,single_D12,1.0846880674362183,0.625,110.55889892578125,1,17,0.9371366500854492,{}
4434,35472,560848,binding_D4,0.00025246196310035884,1.0,0.054526444524526596,0,9,0.5166342258453369,{}
4435,35480,560936,motion_D0,0.9430914521217346,0.375,23.467662811279297,1,11,0.6289339065551758,{}
4436,35488,561072,binding_D12,0.11352171748876572,0.875,36.19614791870117,1,17,1.0054960250854492,{}
4437,35496,561144,single_D4,0.6141692399978638,0.75,44.28938293457031,1,9,0.48717474937438965,{}
4438,35504,561184,binding_D0,0.003000764176249504,1.0,0.802372932434082,0,5,0.29083704948425293,{}
4439,35512,561416,binding_D24,0.021642550826072693,1.0,13.000016212463379,1,29,1.4546401500701904,{}
4440,35520,561552,binding_D12,0.002305334899574518,1.0,1.0249310731887817,1,17,0.8796663284301758,{}
4441,35528,561592,single_D0,0.0032856566831469536,1.0,0.5048292279243469,0,5,0.3056211471557617,{}
4442,35536,561664,binding_D4,0.003780059050768614,1.0,0.49267876148223877,0,9,0.5174016952514648,{}
4443,35544,561800,single_D12,0.4942306578159332,0.75,45.28754425048828,1,17,0.8745722770690918,{}
4444,35552,562032,single_D24,0.689172089099884,0.625,50.66469955444336,1,29,1.6264097690582275,{}
4445,35560,562168,single_D12,0.2904329299926758,0.875,16.658802032470703,1,17,0.8861744403839111,{}
4446,35568,562240,binding_D4,2.0265508737793425e-06,1.0,0.0003065998898819089,0,9,0.4545464515686035,{}
4447,35576,562520,motion_D24,1.3788082599639893,0.25,1.2309590578079224,1,35,1.763831615447998,{}
4448,35584,562592,binding_D4,0.003197574056684971,1.0,0.45015043020248413,0,9,0.455960750579834,{}
4449,35592,562632,binding_D0,4.450277629075572e-05,1.0,0.007490506861358881,0,5,0.264695405960083,{}
4450,35600,562768,single_D12,0.20659005641937256,1.0,9.29007625579834,1,17,0.8295657634735107,{}
4451,35608,563000,single_D24,0.8427163362503052,0.5,20.180191040039062,1,29,1.4315392971038818,{}
4452,35616,563232,single_D24,0.5294315814971924,0.625,36.18421173095703,1,29,1.4234652519226074,{}
4453,35624,563320,motion_D0,1.1196399927139282,0.25,66.11642456054688,1,11,0.579559326171875,{}
4454,35632,563456,single_D12,0.382206529378891,0.875,25.330276489257812,1,17,0.892744779586792,{}
4455,35640,563592,single_D12,0.5253264904022217,0.75,31.022247314453125,1,17,0.8567194938659668,{}
4456,35648,563664,binding_D4,0.22745658457279205,0.875,23.965349197387695,1,9,0.4606459140777588,{}
4457,35656,563800,binding_D12,0.0005467217415571213,1.0,0.5612757802009583,0,17,0.883110761642456,{}
4458,35664,563888,motion_D0,0.8911699652671814,0.5,17.52972412109375,1,11,0.5881578922271729,{}
4459,35672,564024,binding_D12,0.0005324551020748913,1.0,0.10600657761096954,0,17,0.8536489009857178,{}
4460,35680,564064,single_D0,0.08561810851097107,1.0,6.759054660797119,1,5,0.26828908920288086,{}
