step,episodes,frames_total,condition,delay,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics,first_trial_id
3116,24928,523488,motion_duration_cued_D0,0,1.3877224922180176,0.125,0.5157286524772644,0,11,0.5656452178955078,{},SpatialBattery/train/61973001/motion_duration_cued/24920
3117,24936,523576,motion_duration_cued_D0,0,1.3864439725875854,0.25,0.01288818009197712,0,11,0.6011645793914795,{},SpatialBattery/train/61973001/motion_duration_cued/24928
3118,24944,523760,motion_duration_cued_D12,12,1.386286735534668,0.25,0.0023967877496033907,0,23,1.2163002490997314,{},SpatialBattery/train/61973001/motion_duration_cued/24936
3119,24952,524040,motion_duration_cued_D24,24,1.3867058753967285,0.0,0.5863832235336304,0,35,1.8296327590942383,{},SpatialBattery/train/61973001/motion_duration_cued/24944
3120,24960,524160,motion_duration_cued_D4,4,1.3873769044876099,0.125,0.6123440265655518,0,15,0.8053956031799316,{},SpatialBattery/train/61973001/motion_duration_cued/24952
3121,24968,524248,motion_duration_cued_D0,0,1.387526273727417,0.125,0.3726792335510254,0,11,0.5707430839538574,{},SpatialBattery/train/61973001/motion_duration_cued/24960
3122,24976,524368,motion_duration_cued_D4,4,1.3860383033752441,0.375,0.3541276454925537,0,15,0.7793893814086914,{},SpatialBattery/train/61973001/motion_duration_cued/24968
3123,24984,524552,motion_duration_cued_D12,12,1.3856613636016846,0.375,0.3406170904636383,0,23,1.2008888721466064,{},SpatialBattery/train/61973001/motion_duration_cued/24976
3124,24992,524832,motion_duration_cued_D24,24,1.387392282485962,0.125,0.3420763313770294,0,35,1.818598747253418,{},SpatialBattery/train/61973001/motion_duration_cued/24984
3125,25000,525016,motion_duration_cued_D12,12,1.3862661123275757,0.25,0.004021917935460806,0,23,1.2190525531768799,{},SpatialBattery/train/61973001/motion_duration_cued/24992
3126,25008,525296,motion_duration_cued_D24,24,1.3862990140914917,0.25,0.0030827601440250874,0,35,1.8208398818969727,{},SpatialBattery/train/61973001/motion_duration_cued/25000
3127,25016,525384,motion_duration_cued_D0,0,1.38640296459198,0.125,0.010313272476196289,0,11,0.5751361846923828,{},SpatialBattery/train/61973001/motion_duration_cued/25008
3128,25024,525504,motion_duration_cued_D4,4,1.38614821434021,0.25,0.006954847369343042,0,15,0.8053085803985596,{},SpatialBattery/train/61973001/motion_duration_cued/25016
