step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
11,440,9312,0.7918103992938995,0.55,1.6135644912719727,1,3.423462390899658,"{""orientation_cued"": 0.7024506330490112, ""motion_duration_cued"": 1.4206115007400513, ""krauzlis_cued_motion"": 0.6433834433555603, ""spatial_binding"": 0.6940644979476929, ""image_recognition"": 0.498541921377182}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N0_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
12,480,10080,0.7750888049602509,0.575,1.6075148582458496,1,2.5638067722320557,"{""orientation_cued"": 0.698246955871582, ""motion_duration_cued"": 1.3696149587631226, ""krauzlis_cued_motion"": 0.6626323461532593, ""spatial_binding"": 0.6930649876594543, ""image_recognition"": 0.45188477635383606}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N0_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
13,520,11248,0.8469898700714111,0.4,1.65787935256958,1,3.9231951236724854,"{""orientation_cued"": 0.7095350027084351, ""motion_duration_cued"": 1.3807220458984375, ""krauzlis_cued_motion"": 0.6625046730041504, ""spatial_binding"": 0.700866162776947, ""image_recognition"": 0.7813214659690857}","{""orientation_cued"": 0.125, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
14,560,11744,0.8626111149787903,0.4,1.8052465915679932,1,1.683166742324829,"{""orientation_cued"": 0.7516543865203857, ""motion_duration_cued"": 1.3956067562103271, ""krauzlis_cued_motion"": 0.6676549911499023, ""spatial_binding"": 0.695290744304657, ""image_recognition"": 0.8028486967086792}","{""orientation_cued"": 0.125, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
15,600,12512,0.9337527275085449,0.35,2.1935219764709473,1,2.557567596435547,"{""orientation_cued"": 0.7183231711387634, ""motion_duration_cued"": 1.3847771883010864, ""krauzlis_cued_motion"": 1.0727289915084839, ""spatial_binding"": 0.694976270198822, ""image_recognition"": 0.7979580163955688}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.125, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
16,640,13504,0.7751256942749023,0.575,1.219364047050476,1,3.342489004135132,"{""orientation_cued"": 0.6796396970748901, ""motion_duration_cued"": 1.3899040222167969, ""krauzlis_cued_motion"": 0.760209321975708, ""spatial_binding"": 0.6947530508041382, ""image_recognition"": 0.3511223793029785}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N0_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
17,680,14352,0.8479750275611877,0.45,1.028632640838623,1,2.8661434650421143,"{""orientation_cued"": 0.7117757201194763, ""motion_duration_cued"": 1.3797194957733154, ""krauzlis_cued_motion"": 0.6638515591621399, ""spatial_binding"": 0.6929540634155273, ""image_recognition"": 0.7915742993354797}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
18,720,15192,0.8985849499702454,0.4,1.5275603532791138,1,2.8412816524505615,"{""orientation_cued"": 0.6887633204460144, ""motion_duration_cued"": 1.388169765472412, ""krauzlis_cued_motion"": 0.9436113834381104, ""spatial_binding"": 0.6936413049697876, ""image_recognition"": 0.7787389755249023}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.125, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N12_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
19,760,16280,0.8555039882659912,0.45,0.9827757477760315,0,3.6183395385742188,"{""orientation_cued"": 0.6991568207740784, ""motion_duration_cued"": 1.3938337564468384, ""krauzlis_cued_motion"": 0.7153633832931519, ""spatial_binding"": 0.6939001679420471, ""image_recognition"": 0.7752658128738403}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N24_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
20,800,16872,0.7629199206829071,0.6,1.3365787267684937,1,1.9952600002288818,"{""orientation_cued"": 0.699533998966217, ""motion_duration_cued"": 1.3959444761276245, ""krauzlis_cued_motion"": 0.6330694556236267, ""spatial_binding"": 0.6933417916297913, ""image_recognition"": 0.392709881067276}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N0_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
21,840,17640,0.8294153094291687,0.55,0.9761128425598145,0,2.586869239807129,"{""orientation_cued"": 0.6846871376037598, ""motion_duration_cued"": 1.3968324661254883, ""krauzlis_cued_motion"": 0.6232931017875671, ""spatial_binding"": 0.6927155256271362, ""image_recognition"": 0.7495483160018921}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.875, ""spatial_binding"": 0.625, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
22,880,18512,0.8440001726150512,0.45,1.0353832244873047,1,2.9967033863067627,"{""orientation_cued"": 0.7143456339836121, ""motion_duration_cued"": 1.4167529344558716, ""krauzlis_cued_motion"": 0.6518113613128662, ""spatial_binding"": 0.693724513053894, ""image_recognition"": 0.7433664202690125}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
23,920,19384,0.7702292501926422,0.625,1.3460078239440918,1,2.9849207401275635,"{""orientation_cued"": 0.6828238368034363, ""motion_duration_cued"": 1.4136483669281006, ""krauzlis_cued_motion"": 0.6204652786254883, ""spatial_binding"": 0.6936171054840088, ""image_recognition"": 0.4405916631221771}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.875, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N0_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
24,960,20160,0.8544080972671508,0.4,0.8752344250679016,0,2.625498056411743,"{""orientation_cued"": 0.7030292749404907, ""motion_duration_cued"": 1.3713572025299072, ""krauzlis_cued_motion"": 0.7684216499328613, ""spatial_binding"": 0.6932634115219116, ""image_recognition"": 0.7359689474105835}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
25,1000,21088,0.8207495927810669,0.5,1.031123161315918,1,3.188211441040039,"{""orientation_cued"": 0.7070767879486084, ""motion_duration_cued"": 1.3748406171798706, ""krauzlis_cued_motion"": 0.5995369553565979, ""spatial_binding"": 0.6933565139770508, ""image_recognition"": 0.7289370894432068}","{""orientation_cued"": 0.25, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.875, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
26,1040,21960,0.8371797800064087,0.4,0.7956334352493286,0,2.9639358520507812,"{""orientation_cued"": 0.6979799270629883, ""motion_duration_cued"": 1.4028871059417725, ""krauzlis_cued_motion"": 0.6659197807312012, ""spatial_binding"": 0.694872260093689, ""image_recognition"": 0.7242398262023926}","{""orientation_cued"": 0.25, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N4_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
27,1080,22928,0.8439025521278382,0.375,0.8592718243598938,0,3.2778077125549316,"{""orientation_cued"": 0.6981565952301025, ""motion_duration_cued"": 1.3999593257904053, ""krauzlis_cued_motion"": 0.7091617584228516, ""spatial_binding"": 0.6944736242294312, ""image_recognition"": 0.7177614569664001}","{""orientation_cued"": 0.25, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
28,1120,23664,0.7891168355941772,0.65,1.3065434694290161,1,2.4847779273986816,"{""orientation_cued"": 0.6917815804481506, ""motion_duration_cued"": 1.3783867359161377, ""krauzlis_cued_motion"": 0.6638713479042053, ""spatial_binding"": 0.6939273476600647, ""image_recognition"": 0.5176171660423279}","{""orientation_cued"": 0.75, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N0_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
