step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics
8422,67376,1065216,single_D4,0.0010484037920832634,1.0,0.12522873282432556,0,9,0.6121821403503418,{}
8423,67384,1065352,binding_D12,0.0,1.0,1.9960513952810288e-07,0,17,0.9868426322937012,{}
8424,67392,1065488,single_D12,0.14211221039295197,1.0,22.42471694946289,1,17,1.0171899795532227,{}
8425,67400,1065720,single_D24,0.45805656909942627,0.75,21.668527603149414,1,29,1.7936887741088867,{}
8426,67408,1065856,single_D12,0.03274033963680267,1.0,4.081889629364014,1,17,1.0651812553405762,{}
8427,67416,1066088,single_D24,0.9533477425575256,0.5,85.60426330566406,1,29,1.6543817520141602,{}
8428,67424,1066160,binding_D4,0.00041508226422593,1.0,0.1328536719083786,0,9,0.5627448558807373,{}
8429,67432,1066232,binding_D4,1.9295515812700614e-05,1.0,0.007278556935489178,0,9,0.5578725337982178,{}
8430,67440,1066304,binding_D4,0.0,1.0,2.6786196372086124e-08,0,9,0.5608429908752441,{}
8431,67448,1066440,binding_D12,4.3213293565713684e-07,1.0,0.00010121162631548941,0,17,0.9987499713897705,{}
8432,67456,1066576,binding_D12,3.188808250342845e-06,1.0,0.0013562089297920465,0,17,1.053422451019287,{}
8433,67464,1066712,binding_D12,4.470348002882929e-08,1.0,1.3830913303536363e-05,0,17,1.0611634254455566,{}
8434,67472,1066848,single_D12,0.1464589685201645,0.875,15.59985637664795,1,17,1.0237395763397217,{}
8435,67480,1066888,binding_D0,7.450565249200736e-07,1.0,0.00017525024304632097,0,5,0.40854358673095703,{}
8436,67488,1067120,binding_D24,1.7881382063933415e-07,1.0,6.95397611707449e-05,0,29,1.650099515914917,{}
8437,67496,1067160,single_D0,9.868089546216652e-05,1.0,0.019152065739035606,0,5,0.3183431625366211,{}
8438,67504,1067200,binding_D0,5.960463056453591e-08,1.0,1.952105412783567e-05,0,5,0.3084995746612549,{}
8439,67512,1067288,motion_D0,1.0397635698318481,0.5,3.609649419784546,1,11,0.6843385696411133,{}
8440,67520,1067328,single_D0,0.0001541071105748415,1.0,0.024982424452900887,0,5,0.31289076805114746,{}
8441,67528,1067560,binding_D24,5.915677775192307e-06,1.0,0.0024610606487840414,0,29,1.694382667541504,{}
8442,67536,1067632,binding_D4,0.0,1.0,3.811146537247012e-11,0,9,0.5577740669250488,{}
8443,67544,1067672,binding_D0,8.940693874137651e-08,1.0,7.935260509839281e-05,0,5,0.3289530277252197,{}
8444,67552,1067808,binding_D12,1.4901160305669237e-08,1.0,3.830028163065435e-06,0,17,1.025162935256958,{}
8445,67560,1068040,binding_D24,1.4901152667334827e-07,1.0,4.2189101804979146e-05,0,29,1.7075507640838623,{}
8446,67568,1068112,binding_D4,0.0,1.0,1.1580193692850571e-08,0,9,0.5572137832641602,{}
8447,67576,1068344,binding_D24,3.57627357061574e-07,1.0,0.0003750977339223027,0,29,1.7940902709960938,{}
8448,67584,1068576,single_D24,0.3449386954307556,0.75,29.770931243896484,1,29,1.6663670539855957,{}
8449,67592,1068616,single_D0,0.002747724298387766,1.0,0.2918190062046051,0,5,0.32628774642944336,"{""first_sensory_field_gradient_norm"": 0.002090990077704191, ""early_r_gradient_norm"": 0.012659398838877678, ""early_r_rms"": 0.046866524964571, ""early_a_gradient_norm"": 0.0001542969112051651, ""early_a_rms"": 0.0, ""late_r_gradient_norm"": 0.002930629765614867, ""late_r_rms"": 0.2973443865776062, ""late_a_gradient_norm"": null, ""late_a_rms"": 0.021726172417402267, ""attention_gradient_norm"": 0.05173919349908829, ""encoder_gradient_norm"": 0.12228350341320038, ""raw_recurrent_gradient_rms"": 2.10035864256497e-07, ""state_stats"": {""inactive_fraction"": 0.13914571702480316, ""tau_r_mean"": 4.875704765319824, ""tau_a_mean"": 37.804725646972656, ""adaptation_gain_mean"": 0.045222677290439606, ""memory_attention_mass"": 0.2739361524581909, ""locality"": [4.030139446258545, 4.0267720222473145]}, ""effective_recurrent_relative_update"": 5.486181180458516e-05}"
8450,67600,1068656,binding_D0,7.450578465295621e-08,1.0,8.401345985475928e-05,0,5,0.3346750736236572,{}
