step,stage,family,condition,episodes,visual_updates,loss,grad_norm,clipped,accuracy,diagnostics,frames,step_seconds,wall_utc
61,focused,motion_direction,motion_anchor,488,3520,0.38945910334587097,15.580321311950684,1,0.875,{},2,0.08959964383393526,2026-09-13T03:40:56.941533+00:00
62,focused,motion_direction,motion_L8,496,3608,1.407003402709961,0.3273575007915497,0,0.125,{},11,0.38068030402064323,2026-09-13T03:40:57.325068+00:00
63,focused,orientation,orientation_recall_D4,504,3696,0.7156510353088379,0.29989638924598694,0,0.25,{},11,0.3367037659045309,2026-09-13T03:40:57.664248+00:00
64,focused,motion_direction,motion_L2,512,3736,1.3772062063217163,0.31945404410362244,0,0.5,{},5,0.1795795860234648,2026-09-13T03:40:57.845156+00:00
65,focused,orientation,orientation_recall_minimal,520,3776,0.7003554105758667,0.374543696641922,0,0.375,"{""state_mean"": {""inactive_fraction"": 0.637109375, ""rectifier_off_fraction"": 0.6669921875, ""excitatory_mean"": 0.016702709812670948, ""inhibitory_mean"": 0.01780432490631938, ""tau_r_mean"": 4.333097457885742, ""tau_a_mean"": 34.61668395996094, ""adaptation_gain_mean"": 0.050062358379364014, ""state0_rms"": 0.0347503611817956, ""state0_max"": 0.1444980427622795, ""state1_rms"": 0.0021275212755426766, ""state1_max"": 0.010255186911672353}, ""state_peak"": {""state0_max"": 0.2019452154636383, ""state1_max"": 0.023097878322005272}, ""early_representation_gradient_norm"": 0.00027244642842561007, ""late_representation_gradient_norm"": 0.001026115962304175, ""core_gradient_norm"": 0.009205462411046028, ""recurrent_gradient_rms"": 1.6049225948222556e-08, ""recurrent_gradient_median_abs"": 0.0, ""current_gradient_fraction_below_adam_eps"": 0.8523406982421875, ""raw_recurrent_gradient_norm"": 4.108601842744974e-06, ""raw_recurrent_relative_gradient_norm"": 2.8476778712871464e-09, ""effective_recurrent_relative_update"": 4.780482777277939e-05, ""raw_recurrent_relative_update"": 8.24663493403932e-06}",5,0.1739482230041176,2026-09-13T03:40:58.021128+00:00
66,focused,motion_direction,motion_L8,528,3864,1.3908675909042358,0.3577133119106293,0,0.25,{},11,0.39364159014075994,2026-09-13T03:40:58.416983+00:00
67,focused,orientation,orientation_recall_D4,536,3952,0.7211955785751343,0.3605315089225769,0,0.375,{},11,0.36060620308853686,2026-09-13T03:40:58.779740+00:00
68,focused,motion_direction,motion_L2,544,3992,1.37196946144104,0.34443914890289307,0,0.25,{},5,0.18601087504066527,2026-09-13T03:40:58.967214+00:00
69,focused,orientation,orientation_recall_minimal,552,4032,0.684485912322998,0.33806106448173523,0,0.5,{},5,0.17660437594167888,2026-09-13T03:40:59.145119+00:00
70,focused,motion_direction,motion_L8,560,4120,1.413996934890747,0.3495824635028839,0,0.125,{},11,0.3846039881464094,2026-09-13T03:40:59.531740+00:00
71,focused,orientation,orientation_anchor,568,4136,0.0016280447598546743,0.04864693060517311,0,1.0,{},2,0.11656162096187472,2026-09-13T03:40:59.649381+00:00
72,focused,orientation,orientation_recall_D4,576,4224,0.6835141777992249,0.25828489661216736,0,0.5,{},11,0.3388045229949057,2026-09-13T03:40:59.990269+00:00
73,focused,motion_direction,motion_L2,584,4264,1.3486759662628174,0.39223626255989075,0,0.625,{},5,0.1852349890395999,2026-09-13T03:41:00.176864+00:00
74,focused,orientation,orientation_recall_minimal,592,4304,0.6964390277862549,0.33749228715896606,0,0.625,{},5,0.17844379390589893,2026-09-13T03:41:00.356656+00:00
75,focused,motion_direction,motion_L8,600,4392,1.3842618465423584,0.31762558221817017,0,0.25,{},11,0.3690781588666141,2026-09-13T03:41:00.727808+00:00
76,focused,orientation,orientation_recall_D4,608,4480,0.706030011177063,0.25488772988319397,0,0.375,{},11,0.3538193660788238,2026-09-13T03:41:01.083450+00:00
77,focused,motion_direction,motion_L2,616,4520,1.3967182636260986,0.37449491024017334,0,0.125,{},5,0.18369313911534846,2026-09-13T03:41:01.268771+00:00
78,focused,orientation,orientation_recall_minimal,624,4560,0.6711063385009766,0.28411662578582764,0,0.75,{},5,0.16997545794583857,2026-09-13T03:41:01.440285+00:00
79,focused,motion_direction,motion_L8,632,4648,1.3656926155090332,0.371968537569046,0,0.5,{},11,0.37984322919510305,2026-09-13T03:41:01.822448+00:00
80,focused,orientation,orientation_recall_D4,640,4736,0.6847930550575256,0.28791186213493347,0,0.5,{},11,0.3501436389051378,2026-09-13T03:41:02.174392+00:00
81,focused,motion_direction,motion_anchor,648,4752,0.3496164083480835,18.796710968017578,1,0.875,{},2,0.08732817904092371,2026-09-13T03:41:02.263406+00:00
82,focused,motion_direction,motion_L2,656,4792,1.3899214267730713,0.2668584883213043,0,0.25,{},5,0.18744137487374246,2026-09-13T03:41:02.452267+00:00
83,focused,orientation,orientation_recall_minimal,664,4832,0.7030504941940308,0.30494603514671326,0,0.5,{},5,0.1811623361427337,2026-09-13T03:41:02.635186+00:00
84,focused,motion_direction,motion_L8,672,4920,1.3962104320526123,0.35728588700294495,0,0.375,{},11,0.38429585099220276,2026-09-13T03:41:03.021644+00:00
85,focused,orientation,orientation_recall_D4,680,5008,0.6863205432891846,0.2895734906196594,0,0.5,{},11,0.3643949688412249,2026-09-13T03:41:03.388278+00:00
86,focused,motion_direction,motion_L2,688,5048,1.3961938619613647,0.39077702164649963,0,0.375,{},5,0.18462633294984698,2026-09-13T03:41:03.574237+00:00
87,focused,orientation,orientation_recall_minimal,696,5088,0.6989341378211975,0.2473851442337036,0,0.375,{},5,0.18033138196915388,2026-09-13T03:41:03.755858+00:00
88,focused,motion_direction,motion_L8,704,5176,1.3735387325286865,0.3702206611633301,0,0.125,{},11,0.3990088470745832,2026-09-13T03:41:04.156829+00:00
89,focused,orientation,orientation_recall_D4,712,5264,0.7016926407814026,0.24990326166152954,0,0.5,{},11,0.35265104402787983,2026-09-13T03:41:04.511509+00:00
90,focused,motion_direction,motion_L2,720,5304,1.3895533084869385,0.3074061870574951,0,0.25,{},5,0.18271390604786575,2026-09-13T03:41:04.695675+00:00
91,focused,orientation,orientation_anchor,728,5320,0.008659650571644306,0.3910019099712372,0,1.0,{},2,0.07953235879540443,2026-09-13T03:41:04.776290+00:00
92,focused,orientation,orientation_recall_minimal,736,5360,0.6648377776145935,0.3192083239555359,0,0.625,{},5,0.1710333910305053,2026-09-13T03:41:04.949322+00:00
93,focused,motion_direction,motion_L8,744,5448,1.3672815561294556,0.31994524598121643,0,0.375,{},11,0.4126638181041926,2026-09-13T03:41:05.364665+00:00
94,focused,orientation,orientation_recall_D4,752,5536,0.6961618065834045,0.2892875671386719,0,0.375,{},11,0.3477570051327348,2026-09-13T03:41:05.714494+00:00
