step,task,fresh_pairs,loss,grad_norm,accuracy,step_seconds,wall_utc
832,orientation,26624,0.6926767230033875,1.0801845788955688,0.5625,0.09399999980814755,2026-09-13T00:01:39.704333+00:00
833,contour,26656,0.26881226897239685,1.3977934122085571,0.84375,0.20300000021234155,2026-09-13T00:01:39.910961+00:00
834,contrast,26688,0.09295676648616791,0.5627533793449402,0.9375,0.10900000017136335,2026-09-13T00:01:40.021304+00:00
835,contour,26720,0.007250931579619646,0.18894532322883606,1.0,0.15699999989010394,2026-09-13T00:01:40.188138+00:00
836,spatial_frequency,26752,1.0849860906600952,5.438864707946777,0.5,0.09300000010989606,2026-09-13T00:01:40.283823+00:00
837,contour,26784,0.006929286289960146,0.1034797951579094,1.0,0.17199999978765845,2026-09-13T00:01:40.453624+00:00
838,chromatic_increment,26816,0.1391904652118683,1.4364813566207886,0.9375,0.11000000010244548,2026-09-13T00:01:40.562118+00:00
839,contour,26848,0.035693515092134476,0.7826329469680786,0.96875,0.17100000008940697,2026-09-13T00:01:40.729820+00:00
840,natural_spectrum,26880,0.1497289389371872,1.0079151391983032,0.96875,0.10999999986961484,2026-09-13T00:01:40.844339+00:00
841,contour,26912,0.15889522433280945,1.6735039949417114,0.96875,0.1720000000204891,2026-09-13T00:01:41.004741+00:00
842,motion_direction,26944,1.3601174354553223,0.9213672876358032,0.28125,0.09300000010989606,2026-09-13T00:01:41.114543+00:00
843,contour,26976,0.01720854453742504,0.3995380997657776,1.0,0.15600000019185245,2026-09-13T00:01:41.281246+00:00
844,orientation,27008,0.6332836747169495,0.6790262460708618,0.75,0.09399999980814755,2026-09-13T00:01:41.374441+00:00
845,contour,27040,0.014742436818778515,0.3811643421649933,1.0,0.1720000000204891,2026-09-13T00:01:41.536285+00:00
846,contrast,27072,0.028650106862187386,0.2507224977016449,1.0,0.0940000000409782,2026-09-13T00:01:41.630775+00:00
847,contour,27104,0.14002780616283417,0.9489958882331848,0.96875,0.1559999999590218,2026-09-13T00:01:41.796924+00:00
848,spatial_frequency,27136,0.9070529341697693,2.9632925987243652,0.53125,0.0940000000409782,2026-09-13T00:01:41.891084+00:00
849,contour,27168,0.10754034668207169,0.58738112449646,0.96875,0.1720000000204891,2026-09-13T00:01:42.058404+00:00
850,chromatic_increment,27200,0.2123342752456665,1.1213274002075195,0.9375,0.10899999993853271,2026-09-13T00:01:42.164985+00:00
851,contour,27232,0.1407976597547531,0.7108729481697083,0.9375,0.1559999999590218,2026-09-13T00:01:42.330346+00:00
852,natural_spectrum,27264,0.09336400032043457,1.1008546352386475,0.96875,0.125,2026-09-13T00:01:42.441993+00:00
853,contour,27296,0.021400874480605125,0.38090550899505615,1.0,0.15600000019185245,2026-09-13T00:01:42.609918+00:00
854,motion_direction,27328,1.4101037979125977,0.5894743800163269,0.25,0.10999999986961484,2026-09-13T00:01:42.717916+00:00
855,contour,27360,0.02588869445025921,0.25939029455184937,1.0,0.1720000000204891,2026-09-13T00:01:42.880443+00:00
856,orientation,27392,0.5903231501579285,0.6062383055686951,0.75,0.09300000010989606,2026-09-13T00:01:42.976575+00:00
857,contour,27424,0.0397765077650547,0.6307013630867004,0.96875,0.15699999989010394,2026-09-13T00:01:43.143978+00:00
858,contrast,27456,0.09728623926639557,0.8256561756134033,0.96875,0.10899999993853271,2026-09-13T00:01:43.243193+00:00
859,contour,27488,0.002856421284377575,0.054793473333120346,1.0,0.1720000000204891,2026-09-13T00:01:43.413052+00:00
860,spatial_frequency,27520,0.646321713924408,0.7937690615653992,0.59375,0.0940000000409782,2026-09-13T00:01:43.506195+00:00
861,contour,27552,0.03145678713917732,0.2745950222015381,1.0,0.1720000000204891,2026-09-13T00:01:43.679496+00:00
862,chromatic_increment,27584,0.17336405813694,1.5855164527893066,0.9375,0.09300000010989606,2026-09-13T00:01:43.784650+00:00
863,contour,27616,0.010498203337192535,0.2543144226074219,1.0,0.17199999978765845,2026-09-13T00:01:43.957251+00:00
864,natural_spectrum,27648,0.03942504897713661,0.6348801851272583,0.96875,0.1410000000614673,2026-09-13T00:01:44.084391+00:00
865,contour,27680,0.032237205654382706,0.5464491248130798,0.96875,0.1559999999590218,2026-09-13T00:01:44.250973+00:00
866,motion_direction,27712,1.4031299352645874,0.5117944478988647,0.1875,0.10900000017136335,2026-09-13T00:01:44.351890+00:00
867,contour,27744,0.04397561773657799,0.48188316822052,1.0,0.15699999989010394,2026-09-13T00:01:44.515227+00:00
868,orientation,27776,0.5851293206214905,1.3114597797393799,0.65625,0.09300000010989606,2026-09-13T00:01:44.610686+00:00
869,contour,27808,0.1669120341539383,1.283966064453125,0.90625,0.1720000000204891,2026-09-13T00:01:44.778635+00:00
870,contrast,27840,0.04062924534082413,0.717603862285614,1.0,0.09399999980814755,2026-09-13T00:01:44.872395+00:00
871,contour,27872,0.0263975840061903,0.6711745858192444,1.0,0.15600000019185245,2026-09-13T00:01:45.031771+00:00
872,spatial_frequency,27904,0.6257510185241699,0.5101335048675537,0.71875,0.09399999980814755,2026-09-13T00:01:45.126311+00:00
873,contour,27936,0.19118379056453705,0.7818350195884705,0.9375,0.1720000000204891,2026-09-13T00:01:45.293362+00:00
874,chromatic_increment,27968,0.0251062773168087,0.4079408049583435,1.0,0.10900000017136335,2026-09-13T00:01:45.404687+00:00
875,contour,28000,0.11418473720550537,0.8068304061889648,0.9375,0.15699999989010394,2026-09-13T00:01:45.558202+00:00
876,natural_spectrum,28032,0.02097218669950962,0.38689643144607544,1.0,0.125,2026-09-13T00:01:45.677439+00:00
877,contour,28064,0.05997047945857048,1.1014446020126343,0.96875,0.1559999999590218,2026-09-13T00:01:45.839304+00:00
878,motion_direction,28096,1.4126825332641602,0.5985382199287415,0.25,0.10899999993853271,2026-09-13T00:01:45.944686+00:00
879,contour,28128,0.008195869624614716,0.1122293770313263,1.0,0.1410000000614673,2026-09-13T00:01:46.097291+00:00
880,orientation,28160,0.6595714092254639,1.1339658498764038,0.59375,0.0940000000409782,2026-09-13T00:01:46.191505+00:00
881,contour,28192,0.012937949039041996,0.18308663368225098,1.0,0.1869999999180436,2026-09-13T00:01:46.364971+00:00
882,contrast,28224,0.04056491330265999,0.678096354007721,0.96875,0.0779999999795109,2026-09-13T00:01:46.456139+00:00
883,contour,28256,0.026180241256952286,0.6303203105926514,1.0,0.1720000000204891,2026-09-13T00:01:46.622177+00:00
884,spatial_frequency,28288,0.6806203722953796,0.6948832869529724,0.625,0.0940000000409782,2026-09-13T00:01:46.715984+00:00
885,contour,28320,0.04878869652748108,1.2147412300109863,0.96875,0.1559999999590218,2026-09-13T00:01:46.876298+00:00
886,chromatic_increment,28352,0.2083505541086197,3.664111852645874,0.875,0.10900000017136335,2026-09-13T00:01:46.980146+00:00
887,contour,28384,0.03817149996757507,0.8334458470344543,0.96875,0.1720000000204891,2026-09-13T00:01:47.154791+00:00
888,natural_spectrum,28416,0.021917195990681648,0.41169407963752747,1.0,0.10999999986961484,2026-09-13T00:01:47.265120+00:00
889,contour,28448,0.16410422325134277,2.5460429191589355,0.90625,0.1720000000204891,2026-09-13T00:01:47.430419+00:00
890,motion_direction,28480,1.3662317991256714,0.6592339873313904,0.3125,0.10899999993853271,2026-09-13T00:01:47.537212+00:00
891,contour,28512,0.29619643092155457,4.045803546905518,0.875,0.1559999999590218,2026-09-13T00:01:47.705370+00:00
892,orientation,28544,0.6724241375923157,0.8049052953720093,0.53125,0.11000000010244548,2026-09-13T00:01:47.802652+00:00
893,contour,28576,0.12169205397367477,1.9678348302841187,0.96875,0.17100000008940697,2026-09-13T00:01:47.978475+00:00
894,contrast,28608,0.004036862403154373,0.08410967886447906,1.0,0.09399999980814755,2026-09-13T00:01:48.073133+00:00
895,contour,28640,0.02253992110490799,0.4923529624938965,1.0,0.15600000019185245,2026-09-13T00:01:48.238545+00:00
896,spatial_frequency,28672,0.5926543474197388,0.6278088688850403,0.78125,0.10999999986961484,2026-09-13T00:01:48.333255+00:00
897,contour,28704,0.04397205263376236,0.9262849688529968,1.0,0.1559999999590218,2026-09-13T00:01:48.498324+00:00
898,chromatic_increment,28736,0.36518964171409607,2.1342520713806152,0.875,0.10900000017136335,2026-09-13T00:01:48.606091+00:00
899,contour,28768,0.011425541713833809,0.21960870921611786,1.0,0.1720000000204891,2026-09-13T00:01:48.771670+00:00
900,natural_spectrum,28800,0.08081310987472534,0.6483954191207886,0.9375,0.125,2026-09-13T00:01:48.899560+00:00
901,contour,28832,0.05994641035795212,0.4051509499549866,0.96875,0.17199999978765845,2026-09-13T00:01:49.069303+00:00
902,motion_direction,28864,1.368678092956543,0.7999017238616943,0.28125,0.0940000000409782,2026-09-13T00:01:49.171714+00:00
