step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics
8486,67888,1074816,motion_D0,2.5241546630859375,0.25,207.27716064453125,1,11,0.2542872428894043,{}
8487,67896,1074904,motion_D0,1.8903179168701172,0.25,192.74392700195312,1,11,0.2625000476837158,{}
8488,67904,1074992,motion_D0,2.202570915222168,0.25,190.88490295410156,1,11,0.25746917724609375,{}
8489,67912,1075272,motion_D24,1.211582064628601,0.5,67.35604858398438,1,35,0.7735602855682373,{}
8490,67920,1075504,single_D24,0.26044535636901855,0.875,31.514707565307617,1,29,0.612769603729248,{}
8491,67928,1075640,binding_D12,0.0,1.0,1.9734430978246564e-08,0,17,0.3637077808380127,{}
8492,67936,1075776,single_D12,0.12886250019073486,0.875,20.385128021240234,1,17,0.35999321937561035,{}
8493,67944,1075912,binding_D12,1.4901160305669237e-08,1.0,5.505437457031803e-06,0,17,0.36569786071777344,{}
8494,67952,1076192,motion_D24,1.3751543760299683,0.375,100.28175354003906,1,35,0.7939589023590088,{}
8495,67960,1076424,binding_D24,2.9802318834981634e-08,1.0,1.6500354831805453e-05,0,29,0.6080672740936279,{}
8496,67968,1076704,motion_D24,1.8396480083465576,0.25,78.68156433105469,1,35,0.7817397117614746,{}
8497,67976,1076792,motion_D0,1.5509545803070068,0.375,175.64340209960938,1,11,0.2607569694519043,{}
8498,67984,1076832,binding_D0,0.0,1.0,7.003825430729194e-07,0,5,0.1147458553314209,{}
8499,67992,1076904,single_D4,0.00020392696023918688,1.0,0.024344734847545624,0,9,0.19482755661010742,{}
8500,68000,1077040,single_D12,0.016769487410783768,1.0,4.9896697998046875,1,17,0.36098670959472656,{}
8501,68008,1077128,motion_D0,1.5210317373275757,0.625,99.46934509277344,1,11,0.2568199634552002,{}
8502,68016,1077408,motion_D24,1.0775617361068726,0.375,37.60531234741211,1,35,0.7627902030944824,{}
8503,68024,1077640,single_D24,0.07499732077121735,1.0,10.927947998046875,1,29,0.652040958404541,{}
8504,68032,1077680,binding_D0,2.9802318834981634e-08,1.0,3.259442746639252e-05,0,5,0.11993145942687988,{}
8505,68040,1077816,binding_D12,4.1723183130670805e-07,1.0,0.00014614095562137663,0,17,0.3711836338043213,{}
8506,68048,1077856,single_D0,0.001076765009202063,1.0,0.2429875135421753,0,5,0.1121063232421875,{}
8507,68056,1078088,binding_D24,3.3080154935305472e-06,1.0,0.0011379217030480504,0,29,0.6097245216369629,{}
8508,68064,1078224,single_D12,0.22330892086029053,0.875,17.332468032836914,1,17,0.3699512481689453,{}
8509,68072,1078312,motion_D0,1.1280080080032349,0.5,85.48038482666016,1,11,0.2570481300354004,{}
8510,68080,1078592,motion_D24,1.2756186723709106,0.125,76.13810729980469,1,35,0.770442008972168,{}
8511,68088,1078664,single_D4,0.0006409551715478301,1.0,0.20411278307437897,0,9,0.20076870918273926,{}
8512,68096,1078800,single_D12,1.068601369857788,0.5,57.847740173339844,1,17,0.36603784561157227,{}
8513,68104,1079080,motion_D24,0.9547697305679321,0.5,37.09504699707031,1,35,0.7881636619567871,{}
8514,68112,1079360,motion_D24,1.262733817100525,0.5,46.109336853027344,1,35,0.7673017978668213,{}
8515,68120,1079640,motion_D24,1.2393648624420166,0.375,30.958778381347656,1,35,0.7728137969970703,{}
8516,68128,1079712,single_D4,0.0003075056883972138,1.0,0.1338387429714203,0,9,0.19971394538879395,{}
8517,68136,1079992,motion_D24,1.1086006164550781,0.25,28.662538528442383,1,35,0.772188663482666,{}
8518,68144,1080224,single_D24,0.41907820105552673,0.75,42.10866928100586,1,29,0.6393179893493652,{}
8519,68152,1080504,motion_D24,1.5101606845855713,0.25,64.41598510742188,1,35,0.7740352153778076,{}
8520,68160,1080592,motion_D0,2.011657953262329,0.5,114.26284790039062,1,11,0.2528526782989502,{}
8521,68168,1080824,binding_D24,0.0006864122697152197,1.0,0.36702075600624084,0,29,0.633389949798584,{}
8522,68176,1080912,motion_D0,1.8763456344604492,0.375,127.110107421875,1,11,0.2726621627807617,{}
8523,68184,1080984,binding_D4,4.4255666580284014e-06,1.0,0.0013194383354857564,0,9,0.20599031448364258,{}
8524,68192,1081056,binding_D4,1.4901160305669237e-08,1.0,3.156098046019906e-06,0,9,0.20490360260009766,{}
8525,68200,1081336,motion_D24,1.254925012588501,0.375,59.07919692993164,1,35,0.8013052940368652,{}
8526,68208,1081408,single_D4,0.03693689778447151,1.0,8.643649101257324,1,9,0.1990187168121338,{}
8527,68216,1081480,binding_D4,0.002699200063943863,1.0,0.7699257135391235,0,9,0.19871950149536133,{}
8528,68224,1081520,binding_D0,6.55649387226731e-07,1.0,0.0004362050967756659,0,5,0.12966489791870117,{}
8529,68232,1081560,single_D0,0.0002477243833709508,1.0,0.09289930015802383,0,5,0.11281943321228027,{}
8530,68240,1081792,binding_D24,0.00035020028008148074,1.0,0.3769327700138092,0,29,0.6184122562408447,{}
8531,68248,1081880,motion_D0,0.882855236530304,0.5,16.524192810058594,1,11,0.2682359218597412,{}
8532,68256,1082160,motion_D24,1.1041673421859741,0.375,10.74044132232666,1,35,0.7740473747253418,{}
8533,68264,1082440,motion_D24,1.0261564254760742,0.375,4.817881107330322,1,35,0.7727007865905762,{}
8534,68272,1082528,motion_D0,0.902591347694397,0.375,47.38114547729492,1,11,0.25987768173217773,{}
8535,68280,1082616,motion_D0,1.1908917427062988,0.5,26.96811866760254,1,11,0.2559633255004883,{}
8536,68288,1082896,motion_D24,1.2366483211517334,0.375,61.9030876159668,1,35,0.7841994762420654,{}
8537,68296,1082984,motion_D0,1.0452909469604492,0.625,55.64818572998047,1,11,0.2657172679901123,{}
8538,68304,1083056,single_D4,0.0024596424773335457,1.0,0.5212235450744629,0,9,0.20438909530639648,{}
8539,68312,1083336,motion_D24,1.2676589488983154,0.625,21.606380462646484,1,35,0.7732741832733154,{}
8540,68320,1083616,motion_D24,0.9365442991256714,0.875,6.591130256652832,1,35,0.7677488327026367,{}
8541,68328,1083704,motion_D0,1.2200827598571777,0.375,39.971492767333984,1,11,0.2669227123260498,{}
8542,68336,1083840,binding_D12,4.023307553779887e-07,1.0,0.00010886901873163879,0,17,0.3737056255340576,{}
8543,68344,1083928,motion_D0,1.5453615188598633,0.25,76.26968383789062,1,11,0.2659568786621094,{}
8544,68352,1083968,binding_D0,0.00481480872258544,1.0,3.645118236541748,1,5,0.11809301376342773,{}
8545,68360,1084248,motion_D24,1.0568159818649292,0.375,23.543270111083984,1,35,0.7943730354309082,{}
8546,68368,1084336,motion_D0,0.9186315536499023,0.5,16.8593807220459,1,11,0.26297521591186523,{}
8547,68376,1084376,binding_D0,0.0,1.0,7.34695731807733e-07,0,5,0.11631178855895996,{}
8548,68384,1084464,motion_D0,1.2559502124786377,0.625,51.01115036010742,1,11,0.26212000846862793,{}
8549,68392,1084504,single_D0,1.4095906408329029e-05,1.0,0.001262905541807413,0,5,0.1141817569732666,{}
8550,68400,1084592,motion_D0,0.7212179899215698,0.75,28.074743270874023,1,11,0.2627222537994385,{}
8551,68408,1084632,single_D0,2.264966951770475e-06,1.0,0.0003617377078626305,0,5,0.1144111156463623,{}
8552,68416,1084672,single_D0,0.00010508815466891974,1.0,0.022941268980503082,0,5,0.11631608009338379,{}
8553,68424,1084760,motion_D0,1.5606601238250732,0.375,110.22611236572266,1,11,0.2668266296386719,{}
8554,68432,1085040,motion_D24,1.0508066415786743,0.625,7.0939130783081055,1,35,0.7858953475952148,{}
8555,68440,1085272,binding_D24,0.0007077365880832076,1.0,0.3270861506462097,0,29,0.6382308006286621,{}
8556,68448,1085552,motion_D24,1.063948631286621,0.5,18.065114974975586,1,35,0.7963912487030029,{}
8557,68456,1085688,binding_D12,0.0,1.0,6.202954239142855e-08,0,17,0.3655111789703369,{}
8558,68464,1085920,single_D24,0.36493098735809326,0.75,94.27008056640625,1,29,0.6323802471160889,{}
8559,68472,1086008,motion_D0,0.8060311079025269,0.75,9.968660354614258,1,11,0.27270960807800293,{}
8560,68480,1086080,binding_D4,1.2218891924931086e-06,1.0,0.00027549959486350417,0,9,0.2014000415802002,{}
8561,68488,1086168,motion_D0,0.9772266149520874,0.625,80.81539154052734,1,11,0.25965309143066406,{}
8562,68496,1086448,motion_D24,1.1538395881652832,0.25,39.34250259399414,1,35,0.7780351638793945,{}
8563,68504,1086536,motion_D0,1.2819209098815918,0.75,34.02415084838867,1,11,0.2700352668762207,{}
8564,68512,1086768,single_D24,0.3373018503189087,0.875,48.744625091552734,1,29,0.635692834854126,{}
8565,68520,1086904,single_D12,0.3434949219226837,0.875,29.39227294921875,1,17,0.39709973335266113,{}
8566,68528,1086992,motion_D0,1.1821142435073853,0.5,53.99987030029297,1,11,0.268294095993042,{}
8567,68536,1087224,single_D24,0.18050609529018402,0.875,36.545265197753906,1,29,0.6328387260437012,{}
8568,68544,1087504,motion_D24,1.3884336948394775,0.375,130.9226531982422,1,35,0.7888386249542236,{}
8569,68552,1087592,motion_D0,1.1359484195709229,0.5,27.043039321899414,1,11,0.27132201194763184,{}
8570,68560,1087824,single_D24,0.20995764434337616,1.0,38.425079345703125,1,29,0.6419391632080078,{}
8571,68568,1087960,binding_D12,0.0,1.0,5.574355643744866e-09,0,17,0.3782680034637451,{}
8572,68576,1088096,single_D12,0.2462553083896637,0.875,23.00584602355957,1,17,0.3734884262084961,{}
8573,68584,1088376,motion_D24,1.0222570896148682,0.625,13.380069732666016,1,35,0.7920022010803223,{}
8574,68592,1088416,binding_D0,1.5646121482859598e-06,1.0,0.00044729618821293116,0,5,0.11795783042907715,{}
8575,68600,1088488,binding_D4,0.00010499417840037495,1.0,0.05861970782279968,0,9,0.20115113258361816,{}
8576,68608,1088576,motion_D0,1.0480685234069824,0.375,44.230674743652344,1,11,0.26407384872436523,{}
8577,68616,1088856,motion_D24,0.9892451763153076,0.5,43.01919174194336,1,35,0.8041784763336182,"{""first_sensory_field_gradient_norm"": 0.040319252759218216, ""early_r_gradient_norm"": 0.2347860336303711, ""early_r_rms"": 0.0499008409678936, ""early_a_gradient_norm"": 0.006816990207880735, ""early_a_rms"": 0.0, ""late_r_gradient_norm"": 0.08299468457698822, ""late_r_rms"": 0.35142165422439575, ""late_a_gradient_norm"": null, ""late_a_rms"": 0.14186784625053406, ""attention_gradient_norm"": 4.651817798614502, ""encoder_gradient_norm"": 10.870321273803711, ""raw_recurrent_gradient_rms"": 3.852615918731317e-05, ""state_stats"": {""inactive_fraction"": 0.05697577819228172, ""tau_r_mean"": 4.872398853302002, ""tau_a_mean"": 37.81089782714844, ""adaptation_gain_mean"": 0.04521612077951431, ""memory_attention_mass"": 0.45846667885780334, ""locality"": [4.03010368347168, 4.02390718460083]}, ""effective_recurrent_relative_update"": 5.917312955716625e-05}"
8578,68624,1089136,motion_D24,0.9266366362571716,0.25,38.90654754638672,1,35,0.7846534252166748,{}
8579,68632,1089224,motion_D0,1.074878215789795,0.5,14.480986595153809,1,11,0.26412010192871094,{}
8580,68640,1089312,motion_D0,0.6563376784324646,0.875,29.492136001586914,1,11,0.2624776363372803,{}
8581,68648,1089592,motion_D24,1.4487396478652954,0.375,64.48918914794922,1,35,0.7997236251831055,{}
8582,68656,1089728,binding_D12,0.0,1.0,9.409709491592366e-07,0,17,0.3715834617614746,{}
8583,68664,1089960,binding_D24,0.00015431489737238735,1.0,0.14471720159053802,0,29,0.6243801116943359,{}
8584,68672,1090048,motion_D0,1.0337861776351929,0.5,54.33664321899414,1,11,0.2691211700439453,{}
8585,68680,1090120,single_D4,0.03543567284941673,1.0,9.365608215332031,1,9,0.20783257484436035,{}
8586,68688,1090208,motion_D0,1.042825698852539,0.375,48.17521286010742,1,11,0.26412439346313477,{}
8587,68696,1090296,motion_D0,1.0780824422836304,0.5,23.88331413269043,1,11,0.2634003162384033,{}
